Section Number,Title,Text Preview,Suggested Tags,Reason
1101A,APPLICATION,,NONE,Skipped: definitional/scoping
1101A.1,Scope.,Scope. The application and authority of this chapter are identified and referenced in Sections 1.8.2.1.2 and 1102A for the Department of Hou…,NONE,Skipped: definitional/scoping
1102A,General.,,NONE,no match
1102A.1,Where required.,Where required. Buildings or portions of buildings and facilities within the scope of this chapter shall be accessible to persons with disab…,NONE,no match
1102A.2,Existing buildings.,"Existing buildings. The building standards contained in this chapter do not apply to the alteration, repair, rehabilitation or maintenance o…",NONE,no match
1102A.3,Multistory dwelling units in buildings with one or more elevators.,Multistory dwelling units in buildings with one or more elevators. Multistory dwelling units contained in buildings with elevators shall com…,NONE,no match
1102A.4,Temporary restrictions.,"Temporary restrictions. During periods of partial or restricted use of a building or facility, the entrances used for primary access shall b…",NONE,no match
1103A,DESIGN AND CONSTRUCTION,,NONE,no match
1103A.1,General.,"General. When buildings are required to be accessible, they shall be designed and constructed as provided in this chapter. When buildings ar…",NONE,no match
1104A,COVERED MULTIFAMILY DWELLINGS,,NONE,no match
1104A.1,General.,"General. All ground-floor dwelling units in nonelevator buildings shall be adaptable and on an accessible route, unless an accessible route …",NONE,no match
1104A.2,Ground floors above grade.,"Ground floors above grade. Where the first floor containing dwelling units in a building is above grade, all units on that floor shall be se…",NONE,no match
1105A,"GARAGES, CARPORTS AND PARKING FACILITIES",,NONE,no match
1105A.1,General.,"General. Garages, carports and other parking facilities, which are accessory to covered multifamily dwelling units, shall be accessible as r…",NONE,no match
1106A,SITE AND BUILDING CHARACTERISTICS,,NONE,no match
1106A.1,General.,General. Covered multifamily dwellings with elevators shall be designed and constructed to provide at least one accessible entrance on an ac…,NONE,no match
1106A.2,Site impracticality.,"Site impracticality. For tests to determine site impracticality due to terrain considerations in nonelevator buildings, see Section 1150A. F…",NONE,no match
1107A,DEFINITIONS,,NONE,Skipped: definitional/scoping
1108A,GENERAL REQUIREMENTS FOR ACCESSIBLE PARKING AND EXTERIOR ROUTES OF TRAVEL,,NONE,no match
1109A,Design and construction.,,NONE,no match
1109A.1,Accessible parking required.,"Accessible parking required. Each parking facility provided for covered multifamily dwellings and facilities (e.g., swimming pools, club hou…",NONE,no match
1109A.2,Private garages.,"Private garages. Private garages accessory to covered multifamily dwelling units, shall be accessible as required in Section 1109A. Private …",NONE,no match
1109A.3,Required accessible parking spaces.,Required accessible parking spaces. Accessible parking spaces shall be provided at a minimum rate of 2 percent of the covered multifamily dw…,NONE,no match
1109A.4,Assigned accessible parking spaces.,"Assigned accessible parking spaces. When assigned parking spaces are provided for a resident or a group of residents, at least 2 percent of …",NONE,no match
1109A.5,Unassigned and visitor parking spaces.,Unassigned and visitor parking spaces. When parking is provided for covered multifamily dwellings and is not assigned to a resident or a gro…,NONE,no match
1109A.6,Requests for accessible parking spaces.,"Requests for accessible parking spaces. When assigned parking is provided, designated accessible parking for the dwelling unit shall be prov…",NONE,no match
1109A.7,Location of accessible parking spaces.,Location of accessible parking spaces. The location of accessible parking spaces shall comply with the following: 1. Accessible parking spac…,NONE,no match
1109A.8, Parking space marking.,"Parking space marking. In addition to the signage requirements, each accessible parking space shall have a surface identification complying …",NONE,no match
1110A,EXTERIOR ACCESSIBLE ROUTES,,NONE,no match
1110A.1,General.,"General. When a building or portion of a building is required to be accessible or adaptable, an accessible route shall be provided to all po…",NONE,no match
1110A.2,Signs.,Signs. At every primary public entrance and at every major junction where the accessible route diverges from the circulation path along or l…,NONE,no match
1110A.3,Recessed doormats.,Recessed doormats. Recessed doormats shall be adequately anchored to prevent interference with wheelchair traffic. Recessed doormats shall b…,NONE,no match
1110A.4,Exterior accessible routes over 200 feet.,Exterior accessible routes over 200 feet. Exterior accessible routes that exceed 200 feet (60 960 mm) in length shall comply with Section 11…,NONE,no match
1111A,Width and continuous surface.,,NONE,no match
1111A.1,Changes in level not exceeding 1/2 inch. ,Changes in level not exceeding 1/2 inch. Abrupt changes in level along any accessible route shall not exceed 1/2 inch (12.7 mm). When change…,NONE,no match
1111A.2,Changes greater than 1/2 inch.,Changes greater than 1/2 inch. Changes in level greater than 1/2 inch (12.7 mm) shall be made by means of a sloped surface not greater than …,NONE,no match
1112A,CURB RAMPS ON ACCESSIBLE ROUTES,,NONE,no match
1112A.1,General.,General. Curb ramps within the boundary of the site shall be constructed at each corner of street intersections and where a pedestrian way c…,NONE,no match
1112A.2,Obstructions.,Obstructions. Curb ramps shall be located or protected to prevent obstruction by parked cars. Built-up curb ramps shall be located so that t…,NONE,no match
1112A.3,Width of curb ramps.,Width of curb ramps. Curb ramps shall be a minimum of 48 inches (1219 mm) in width. Curb ramps shall be a minimum of 48 inches (1219 mm) in …,NONE,no match
1112A.4,Diagonal curb ramps.,"Diagonal curb ramps. If diagonal (or corner-type) curb ramps have returned curbs or other well-defined edges, such edges shall be parallel t…",NONE,no match
1112A.5,Slope of curb ramps.,"Slope of curb ramps. The slope of curb ramps shall not exceed 1 unit vertical to 12 units horizontal (8.33-percent slope) and shall lie, gen…",NONE,no match
1112A.6,Level landing.,Level landing. A level landing 48 inches (1219 mm) deep shall be provided at the upper end of each curb ramp over its full width to permit s…,NONE,no match
1112A.7,Finish.,"Finish. The surface of each curb ramp and its flared sides shall be stable, firm and slip-resistant and shall be of contrasting finish from …",NONE,no match
1112A.8,Border.,Border. All curb ramps shall have a grooved border 12 inches (305 mm) wide at the level surface of the sidewalk along the top and each side …,NONE,no match
1112A.9,Detectable warnings.,Detectable warnings. See Chapter 11B. See Chapter 11B.,NONE,no match
1113A,WALKS AND SIDEWALKS ON ACCESSIBLE ROUTES,,NONE,no match
1113A.1,Surface cross slopes.,Surface cross slopes. Surface cross slopes shall not exceed 1 unit vertical in 48 units horizontal (2.083-percent slope). Surface cross slop…,NONE,no match
1113A.2,Walks with continuous gradients.,Walks with continuous gradients. All walks on an accessible route with continuous gradients shall have level areas at least 60 inches (1524 …,NONE,no match
1113A.3,Five percent gradient.,Five percent gradient. When the slope in the direction of travel of any walk on an accessible route exceeds 1 unit vertical in 20 units hori…,NONE,no match
1113A.4,Level areas.,Level areas. Walks on an accessible route shall be provided with a level area at each side of a door or gate. Level areas shall comply with …,doors,keywords:doors
